MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
files from jon with attachments last week	FILES	 files  from <contact_name_from> jon </contact_name_from> with <attachment> attachments </attachment> <start_date> last week </start_date>	search_email
i send now files attachments	FILES	<relationship_name_from> i </relationship_name_from> send <start_time> now </start_time>  files  <attachment> attachments </attachment>	search_email
file from rich with attachments	FILES	 file  from <contact_name_from> rich </contact_name_from> with <attachment> attachments </attachment>	search_email
search for files with attachments	FILES	search for  files  with <attachment> attachments </attachment>	search_email
i need to view files about accidents with attachment	FILES	i need to view  files  about <keyword> accidents </keyword> with <attachment> attachment </attachment>	search_email
files with baby food attachments	FILES	 files  with <keyword> baby food </keyword> <attachment> attachments </attachment>	search_email
files from joe with attachments	FILES	 files  from <contact_name_from> joe </contact_name_from> with <attachment> attachments </attachment>	search_email
file from september 1st with amazon shopping link attachments	FILES	 file  from <start_date> september 1st </start_date> with <keyword> amazon shopping link </keyword> <attachment> attachments </attachment>	search_email
attachment attached to file	FILES	<attachment> attachment </attachment> attached to  file 	search_email
bring up files with presentation attachments	FILES	bring up  files  with <attachment_type> presentation </attachment_type> <attachment> attachments </attachment>	search_email
document attachments from last week	FILES	<attachment_type> document </attachment_type> <attachment> attachments </attachment> from <start_date> last week </start_date>	search_email
file with attachment from anson	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> anson </contact_name_from>	search_email
attachment files from pipa	FILES	<attachment> attachment </attachment>  files  from <contact_name_from> pipa </contact_name_from>	search_email
what was files from hank with attachment	FILES	what was  files  from <contact_name_from> hank </contact_name_from> with <attachment> attachment </attachment>	search_email
attachment from mary anne decks	FILES	<attachment> attachment </attachment> from <contact_name_from> mary anne </contact_name_from> <attachment_type> decks </attachment_type>	search_email
files with attachment from august	FILES	 files  with <attachment> attachment </attachment> from <start_date> august </start_date>	search_email
file with attachment from july fjjgfjgfj	FILES	 file  with <attachment> attachment </attachment> from <start_date> july </start_date> <keyword> fjjgfjgfj </keyword>	search_email
file attachment from ashley	FILES	 file  <attachment> attachment </attachment> from <contact_name_from> ashley </contact_name_from>	search_email
lindas file from september with attachments	FILES	<contact_name> linda </contact_name> s  file  from <start_date> september </start_date> with <attachment> attachments </attachment>	search_email
show files from andrew with words attachments	FILES	show  files  from <contact_name_from> andrew </contact_name_from> with <attachment_type> words </attachment_type> <attachment> attachments </attachment>	search_email
attachments that are in my file	FILES	<attachment> attachments </attachment> that are in my  file 	search_email
file that have an attachment that date from month of december	FILES	 file  that have an <attachment> attachment </attachment> that date from <start_date> month of december </start_date>	search_email
files with attachment on video	FILES	 files  with <attachment> attachment </attachment> on <keyword> video </keyword>	search_email
attachment files from january	FILES	<attachment> attachment </attachment>  files  from <start_date> january </start_date>	search_email
files from jon hamaker with xlsx attachments	FILES	 files  from <contact_name_from> jon hamaker </contact_name_from> with <attachment_type> xlsx </attachment_type> <attachment> attachments </attachment>	search_email
file about xrays with attachments	FILES	 file  about <keyword> xrays </keyword> with <attachment> attachments </attachment>	search_email
files from october that have attachments	FILES	 files  from <start_date> october </start_date> that have <attachment> attachments </attachment>	search_email
ryan work documents attachment	FILES	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> documents </attachment_type> <attachment> attachment </attachment>	search_email
files from jim boyle with vstx attachments	FILES	 files  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> vstx </attachment_type> <attachment> attachments </attachment>	search_email
with attachments yesterday	FILES	with <attachment> attachments </attachment> <start_date> yesterday </start_date>	search_email
attachment vstm angelina	FILES	<attachment> attachment </attachment> <attachment_type> vstm </attachment_type> <contact_name> angelina </contact_name>	search_email
files sent to john with spreadsheets attachment	FILES	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> spreadsheets </attachment_type> <attachment> attachment </attachment>	search_email
show all file with attachments from january	FILES	show all  file  with <attachment> attachments </attachment> from <start_date> january </start_date>	search_email
messages from dave with mpp attachments	FILES	messages from <contact_name_from> dave </contact_name_from> with <attachment_type> mpp </attachment_type> <attachment> attachments </attachment>	search_email
